"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SPT","SPT Tm"
33 - NELSON PIQUET JR - Stock Car Pro
"13:37:13.452","1","1:39.524","120,453","","","0,0","23.343","0,0","39.129","",""
"13:38:39.613","2","1:26.161","139,135","0,0","27.858","0,0","21.049","0,0","37.254","201,5","0.570"
"13:40:02.758","3","1:23.145","144,182","0,0","25.937","0,0","20.599","0,0","36.609","208,0","0.552"
"13:41:25.572","4","1:22.814","144,758","0,0","25.699","0,0","20.594","0,0","36.521","208,4","0.551"
"13:42:48.218","5","1:22.646","145,052","0,0","25.556","0,0","20.538","0,0","36.552","210,3","0.546"
"13:46:16.819","6","3:28.601","57,469","0,0","25.592","0,0","20.429","","","209,2","0.549"
"13:47:50.764","7","1:33.945","127,607","","","0,0","22.173","0,0","38.246","",""
"13:49:15.633","8","1:24.869","141,253","0,0","26.410","0,0","21.045","0,0","37.414","204,3","0.562"
"13:50:37.808","9","1:22.175","145,884","0,0","25.502","0,0","20.362","0,0","36.311","208,4","0.551"
"13:52:04.474","10","1:26.666","138,324","0,0","25.522","0,0","20.396","0,0","40.748","209,2","0.549"
"13:53:26.739","11","1:22.265","145,724","0,0","25.484","0,0","20.321","0,0","36.460","208,8","0.550"
"13:54:49.044","12","1:22.305","145,653","0,0","25.526","0,0","20.310","0,0","36.469","208,8","0.550"
"13:58:11.408","13","3:22.364","59,240","0,0","25.464","0,0","20.290","","","208,8","0.550"
"13:59:47.617","14","1:36.209","124,604","","","0,0","21.877","0,0","40.325","",""
"14:01:14.446","15","1:26.829","138,064","0,0","26.903","0,0","21.129","0,0","38.797","200,4","0.573"
"14:02:35.463","16","1:21.017","147,969","0,0","25.039","0,0","20.039","0,0","35.939","210,3","0.546"
4 - JULIO CAMPOS - Stock Car Pro
"13:37:20.730","1","1:36.265","124,531","","","0,0","22.558","0,0","40.150","",""
"13:38:57.406","2","1:36.676","124,002","0,0","29.365","0,0","24.911","0,0","42.400","145,7","0.788"
"13:40:24.134","3","1:26.728","138,225","0,0","25.848","0,0","20.901","0,0","39.979","208,8","0.550"
"13:41:46.689","4","1:22.555","145,212","0,0","25.486","0,0","20.500","0,0","36.569","209,2","0.549"
"13:43:09.224","5","1:22.535","145,247","0,0","25.473","0,0","20.531","0,0","36.531","208,4","0.551"
"13:51:28.049","6","8:18.825","24,032","0,0","26.939","0,0","23.520","","","209,2","0.549"
"13:53:05.914","7","1:37.865","122,495","","","0,0","22.748","0,0","37.388","",""
"13:54:28.419","8","1:22.505","145,300","0,0","25.516","0,0","20.533","0,0","36.456","208,0","0.552"
"13:57:55.424","9","3:27.005","57,912","0,0","25.449","0,0","20.526","","","209,2","0.549"
"13:59:29.802","10","1:34.378","127,021","","","0,0","22.475","0,0","38.245","",""
"14:00:56.329","11","1:26.527","138,546","0,0","27.335","0,0","21.514","0,0","37.678","205,4","0.559"
"14:02:17.829","12","1:21.500","147,092","0,0","25.241","0,0","20.177","0,0","36.082","209,2","0.549"
"14:03:38.852","13","1:21.023","147,958","0,0","25.003","0,0","20.089","0,0","35.931","209,9","0.547"
7 - SERGIO SETTE CAMARA - Stock Car Pro
"13:37:18.739","1","1:36.445","124,299","","","0,0","22.199","0,0","42.157","",""
"13:38:46.450","2","1:27.711","136,676","0,0","25.834","0,0","24.271","0,0","37.606","205,4","0.559"
"13:40:09.263","3","1:22.813","144,760","0,0","25.581","0,0","20.581","0,0","36.651","206,5","0.556"
"13:41:37.787","4","1:28.524","135,421","0,0","25.776","0,0","21.138","0,0","41.610","206,9","0.555"
"13:43:00.744","5","1:22.957","144,509","0,0","25.556","0,0","20.713","0,0","36.688","207,3","0.554"
"13:44:23.715","6","1:22.971","144,484","0,0","25.702","0,0","20.506","0,0","36.763","207,3","0.554"
"13:45:46.630","7","1:22.915","144,582","0,0","25.643","0,0","20.575","0,0","36.697","207,3","0.554"
"13:51:44.548","8","5:57.918","33,494","0,0","25.694","0,0","20.600","","","206,5","0.556"
"13:53:18.933","9","1:34.385","127,012","","","0,0","21.262","0,0","42.516","",""
"13:54:42.777","10","1:23.844","142,980","0,0","25.701","0,0","20.489","0,0","37.654","207,3","0.554"
"13:57:38.992","11","2:56.215","68,031","0,0","25.642","0,0","20.617","","","206,5","0.556"
"13:59:12.710","12","1:33.718","127,916","","","0,0","21.658","0,0","38.686","",""
"14:00:41.546","13","1:28.836","134,945","0,0","26.578","0,0","20.829","0,0","41.429","188,9","0.608"
"14:02:12.150","14","1:30.604","132,312","0,0","25.966","0,0","20.818","0,0","43.820","207,7","0.553"
"14:03:33.292","15","1:21.142","147,741","0,0","25.068","0,0","20.077","0,0","35.997","208,0","0.552"
1 - FELIPE FRAGA - Stock Car Pro
"13:02:52.456","1","1:41.870","117,679","","","0,0","24.223","0,0","39.607","",""
"13:04:19.869","2","1:27.413","137,142","0,0","27.782","0,0","21.794","0,0","37.837","203,3","0.565"
"13:05:42.685","3","1:22.816","144,755","0,0","25.624","0,0","20.604","0,0","36.588","207,7","0.553"
"13:07:05.081","4","1:22.396","145,492","0,0","25.558","0,0","20.496","0,0","36.342","208,0","0.552"
"13:08:27.203","5","1:22.122","145,978","0,0","25.445","0,0","20.361","0,0","36.316","208,8","0.550"
"13:13:42.505","6","5:15.302","38,021","0,0","25.447","0,0","20.559","","","209,6","0.548"
"13:15:12.585","7","1:30.080","133,082","","","0,0","21.884","0,0","37.181","",""
"13:16:34.882","8","1:22.297","145,668","0,0","25.402","0,0","20.437","0,0","36.458","208,8","0.550"
"13:17:57.216","9","1:22.334","145,602","0,0","25.476","0,0","20.432","0,0","36.426","209,2","0.549"
"13:22:47.867","10","4:50.651","41,245","0,0","25.405","0,0","20.514","","","208,8","0.550"
