Carro;Piloto_Equipe;Lap;Time of Day;Pit Time
0;CACA BUENO SCUDERIA CHIARELLI;7;10:39:18.071;38.672
1;FELIPE FRAGA EUROFARMA RC;7;10:39:06.803;37.895
4;JULIO CAMPOS TMG RACING;10;10:43:18.484;38.817
6;HELIO CASTRONEVES MERCADO LIVRE RACING;11;10:45:03.168;43.160
7;SERGIO SETTE CAMARA TEAM RC;10;10:43:17.015;39.632
8;RAFAEL SUZUKI SCUDERIA BANDEIRAS;10;10:43:13.426;39.916
10;RICARDO ZONTA FULL TIME GAZOO RACING;7;10:39:30.873;39.869
12;LUCAS FORESTI VOGEL MOTORSPORT;13;10:47:29.453;39.844
18;ALLAM KHODAIR BLAU MOTORSPORT;10;10:43:21.226;37.783
19;FELIPE MASSA TMG RACING;15;10:50:14.032;38.174
21;THIAGO CAMILO MERCADO LIVRE RACING TEAM;12;10:45:55.598;38.787
24;FELIPE BARTZ RTR SPORT TEAM;8;10:40:53.681;37.293
24;FELIPE BARTZ RTR SPORT TEAM;11;10:45:34.001;31.713
27;RENAN GUERRA AMATTHEIS/TMG;7;10:39:19.867;39.790
29;DANIEL SERRA BLAU MOTORSPORT;7;10:39:10.175;38.121
33;NELSON PIQUET JR SCUDERIA BANDEIRAS;7;10:39:12.623;38.828
38;ZEZINHO MUGGIATI TEAM RC;7;10:39:03.272;38.344
51;ATILA ABREU SCUDERIA BANDEIRAS SPORTS;13;10:47:32.180;37.195
73;ENZO ELIAS AMATTHEIS/TMG;13;10:47:15.281;38.877
80;ALFREDINHO IBIAPINA FULL TIME GAZOO RACING;12;10:46:19.281;40.380
81;ARTHUR LEIST CROWN RACING;9;10:41:55.171;38.951
83;GABRIEL CASAGRANDE VOGEL MOTORSPORT;9;10:41:51.322;38.691
90;RICARDO MAURICIO VALDA-CAVALEIRO SPORTS;6;10:48:31.275;11:02.274
111;RUBENS BARRICHELLO SCUDERIA BANDEIRAS SPORTS;7;10:39:04.677;37.697
121;FELIPE BAPTISTA STERLING RACING;12;10:46:24.256;42.614
293;LEONARDO REIS CAR RACING;7;10:39:06.432;38.396
444;VICENTE ORIGE STERLING RACING;8;10:40:43.335;39.137
