Carro;Stint;Degradacao (s/volta);Ritmo_Base (s);Voltas_Limpas;Consistencia_R2
0;1;0,016;83,484;5;0,001
0;2;0,036;82,522;15;0,105
1;1;-0,036;82,728;5;0,15
1;2;0,037;82,265;15;0,191
4;1;-0,181;83,643;8;0,761
4;2;0,031;82,56;12;0,448
6;1;-0,336;85,764;9;0,558
6;2;-0,013;83,407;11;0,058
7;1;-0,093;83,051;8;0,699
7;2;0,035;82,312;12;0,346
8;1;-0,084;82,952;8;0,81
8;2;0,033;82,339;12;0,766
10;1;-0,288;86,03;5;0,188
10;2;0,031;82,307;15;0,171
12;1;-0,169;83,853;11;0,847
12;2;-0,004;82,915;9;0,014
18;1;-0,182;83,87;8;0,565
18;2;-0,009;83,071;12;0,008
19;1;-0,131;83,669;13;0,626
19;2;0,087;82,425;7;0,732
21;1;-0,055;82,806;10;0,63
21;2;0,04;82,452;10;0,573
22;1;0,0;85,289;6;0,0
24;1;-0,345;86,176;6;0,523
24;3;-0,037;83,359;11;0,307
27;1;-0,179;84,073;5;0,152
27;2;-0,0;82,998;15;0,0
29;1;-0,289;83,857;5;0,648
29;2;0,003;82,769;15;0,002
33;1;-0,515;84,706;5;0,994
33;2;0,023;82,64;15;0,06
38;1;-0,065;82,846;5;0,258
38;2;0,024;82,123;15;0,289
51;1;-0,163;84,181;11;0,574
51;2;0,017;82,748;9;0,189
73;1;-0,187;83,871;12;0,335
73;2;0,078;81,91;9;0,585
80;1;-0,281;85,137;10;0,513
80;2;0,05;82,566;10;0,328
81;1;-0,109;83,237;7;0,388
81;2;0,006;82,676;13;0,018
83;1;-0,048;82,744;7;0,224
83;2;0,069;82,224;13;0,281
95;1;-0,369;86,021;5;0,29
111;1;-0,08;82,981;5;0,359
111;2;0,045;82,209;15;0,63
121;1;-0,414;85,638;10;0,737
121;2;-0,003;82,452;8;0,0
293;1;-0,054;82,872;5;0,402
293;2;0,047;82,406;15;0,294
444;1;-0,462;85,213;6;0,725
444;2;0,08;82,291;14;0,475
