Carro;Volta_Parada;Ritmo_Base;Tempo_In_Lap;Tempo_Out_Lap;Custo_Real_Segundos
0;7;83,225;114,827;85,887;34,264
1;7;82,678;113,469;86,656;34,769
4;10;82,666;113,9;86,705;35,274
6;11;83,352;119,459;87,199;39,954
7;10;82,612;115,098;86,464;36,339
8;10;82,563;115,396;86,208;36,478
10;7;85,123;117,397;86,096;33,247
12;13;82,659;115,528;86,643;36,853
18;10;82,862;113,213;86,33;33,819
19;15;82,516;113,551;86,516;35,035
21;12;82,52;114,32;86,341;35,62
24;8;85,072;115,496;88,494;33,845
24;11;83,428;108,398;87,355;28,897
27;7;83,454;116,048;87,021;36,161
29;7;82,805;113,822;86,887;35,099
33;7;83,06;114,803;85,924;34,607
38;7;82,572;113,244;86,151;34,251
51;13;82,976;113,039;86,608;33,695
73;13;82,414;114,583;86,116;35,872
80;12;83,036;116,628;87,294;37,851
81;9;82,716;114,329;86,078;34,975
83;9;82,612;113,725;86,165;34,666
90;6;86,028;739,942;88,332;656,219
111;7;82,707;112,861;86,048;33,495
121;12;82,606;123,354;86,012;44,153
293;7;82,707;114,118;94,794;43,498
444;8;83,122;115,282;86,275;35,314
