Carro;Piloto;Time of Day;Lap;Lap Tm;Lap Tm (Segundos);Speed;S1;S1 Tm;S2;S2 Tm;S3;S3 Tm;SPT;SPT Tm;Stint;Tipo_Volta;Outlier
0;0 - CACA BUENO - Stock Car Pro;13:10:45.273;1,0;1:40.678;100,678;119,073;;;0,0;22.404;0,0;37.507;;;1;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:13:21.426;2,0;2:36.153;156,153;76,771;0,0;29.939;0,0;26.991;;;204,7;0.561;1;In-Lap/Garage;True
0;0 - CACA BUENO - Stock Car Pro;13:15:04.380;3,0;1:42.954;102,954;116,44;;;0,0;21.168;0,0;37.978;;;2;Out-Lap;True
0;0 - CACA BUENO - Stock Car Pro;13:16:27.078;4,0;1:22.698;82,698;144,961;0,0;25.586;0,0;20.562;0,0;36.550;208,0;0.552;2;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:17:49.916;5,0;1:22.838;82,838;144,716;0,0;25.740;0,0;20.475;0,0;36.623;206,9;0.555;2;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:19:12.553;6,0;1:22.637;82,637;145,068;0,0;25.594;0,0;20.518;0,0;36.525;207,7;0.553;2;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:22:54.048;7,0;3:41.495;221,495;54,123;0,0;28.568;0,0;24.305;;;208,4;0.551;2;In-Lap/Garage;True
0;0 - CACA BUENO - Stock Car Pro;13:24:43.308;8,0;1:49.260;109,26;109,72;;;0,0;25.517;0,0;46.926;;;3;Out-Lap;True
0;0 - CACA BUENO - Stock Car Pro;13:26:11.883;9,0;1:28.575;88,575;135,343;0,0;26.343;0,0;22.542;0,0;39.690;204,3;0.562;3;Push;True
0;0 - CACA BUENO - Stock Car Pro;13:27:34.714;10,0;1:22.831;82,831;144,728;0,0;25.854;0,0;20.785;0,0;36.192;209,2;0.549;3;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:28:56.423;11,0;1:21.709;81,709;146,716;0,0;25.241;0,0;20.429;0,0;36.039;210,3;0.546;3;Push;False
0;0 - CACA BUENO - Stock Car Pro;13:30:18.216;12,0;1:21.793;81,793;146,565;0,0;25.348;0,0;20.231;0,0;36.214;208,4;0.551;3;Push;False
