Carro;Piloto;Time of Day;Lap;LeadLap;Lap Tm;Lap Tm (Segundos);Pit Time;Speed;S1;S1 Tm;S2;S2 Tm;S3;S3 Tm;SPT;SPT Tm
73;73 - ENZO ELIAS - Stock Car Pro;10:30:15.157;1;1,0;1:26.299;86,299;;138,912;0,0;29.424;0,0;20.484;0,0;36.391;133,2;0.862
73;73 - ENZO ELIAS - Stock Car Pro;10:31:37.624;2;2,0;1:22.467;82,467;;145,367;0,0;25.630;0,0;20.440;0,0;36.397;207,3;0.554
73;73 - ENZO ELIAS - Stock Car Pro;10:33:00.113;3;3,0;1:22.489;82,489;;145,328;0,0;25.685;0,0;20.446;0,0;36.358;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:34:22.588;4;4,0;1:22.475;82,475;;145,353;0,0;25.474;0,0;20.563;0,0;36.438;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:35:45.215;5;5,0;1:22.627;82,627;;145,086;0,0;25.583;0,0;20.526;0,0;36.518;209,2;0.549
73;73 - ENZO ELIAS - Stock Car Pro;10:37:07.764;6;6,0;1:22.549;82,549;;145,223;0,0;25.556;0,0;20.449;0,0;36.544;209,2;0.549
73;73 - ENZO ELIAS - Stock Car Pro;10:38:29.923;7;7,0;1:22.159;82,159;;145,912;0,0;25.441;0,0;20.378;0,0;36.340;209,6;0.548
73;73 - ENZO ELIAS - Stock Car Pro;10:39:52.116;8;8,0;1:22.193;82,193;;145,852;0,0;25.518;0,0;20.456;0,0;36.219;209,9;0.547
73;73 - ENZO ELIAS - Stock Car Pro;10:41:14.104;9;9,0;1:21.988;81,988;;146,217;0,0;25.409;0,0;20.315;0,0;36.264;209,6;0.548
73;73 - ENZO ELIAS - Stock Car Pro;10:42:36.186;10;10,0;1:22.082;82,082;;146,049;0,0;25.424;0,0;20.322;0,0;36.336;209,2;0.549
73;73 - ENZO ELIAS - Stock Car Pro;10:43:58.546;11;11,0;1:22.360;82,36;;145,556;0,0;25.467;0,0;20.428;0,0;36.465;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:45:20.698;12;12,0;1:22.152;82,152;;145,925;0,0;25.463;0,0;20.431;0,0;36.258;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:47:15.281;13;13,0;1:54.583;114,583;38.877;104,623;0,0;25.566;0,0;20.376;;;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:48:41.397;14;14,0;1:26.116;86,116;;139,208;;;0,0;20.488;0,0;36.333;;
73;73 - ENZO ELIAS - Stock Car Pro;10:50:03.614;15;15,0;1:22.217;82,217;;145,809;0,0;25.527;0,0;20.439;0,0;36.251;208,0;0.552
73;73 - ENZO ELIAS - Stock Car Pro;10:51:25.682;16;16,0;1:22.068;82,068;;146,074;0,0;25.420;0,0;20.378;0,0;36.270;209,6;0.548
73;73 - ENZO ELIAS - Stock Car Pro;10:52:47.823;17;17,0;1:22.141;82,141;;145,944;0,0;25.462;0,0;20.442;0,0;36.237;208,8;0.550
73;73 - ENZO ELIAS - Stock Car Pro;10:54:09.861;18;18,0;1:22.038;82,038;;146,127;0,0;25.429;0,0;20.325;0,0;36.284;209,6;0.548
73;73 - ENZO ELIAS - Stock Car Pro;10:55:32.002;19;19,0;1:22.141;82,141;;145,944;0,0;25.462;0,0;20.298;0,0;36.381;209,9;0.547
73;73 - ENZO ELIAS - Stock Car Pro;10:56:54.426;20;20,0;1:22.424;82,424;;145,443;0,0;25.507;0,0;20.446;0,0;36.471;209,6;0.548
73;73 - ENZO ELIAS - Stock Car Pro;10:58:16.668;21;21,0;1:22.242;82,242;;145,765;0,0;25.414;0,0;20.348;0,0;36.480;209,2;0.549
73;73 - ENZO ELIAS - Stock Car Pro;10:59:39.156;22;22,0;1:22.488;82,488;;145,33;0,0;25.514;0,0;20.442;0,0;36.532;210,3;0.546
